A. James Baroody Jr.;journals/tods/BaroodyD81|journals/tse/BaroodyD82;American University in Dubai;http://www.aud.edu/;journals/ijmms/FischerLMM91|conf/icde/LentSW97|conf/cp/CataniaBB98|conf/aaai/KrulwichB96|conf/kdd/StolorzNMMSSYNCMF95|journals/fuin/AbrialH07|conf/icde/StonebrakerADLO94
A. John Hurst;conf/pos/HurstS89;Université d'Aix-Marseille III;http://www.u-3mrs.fr/;N/A
A. Joseph Rockmore;journals/aim/NiiFAR82;Meio University;http://www.meio-u.ac.jp/;N/A
A. Khivesera;conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99;University of Lucknow;http://www.lucknowuniv.org/;N/A
A. Kramar;conf/ssdbm/WartelleKJK83;Kamrah International Institute of Technology (KIIT);http://www.kiit.in/;N/A
A. Krishnamurthy;conf/icmcs/ChenKLV95;Lincoln University Pennsylvania;http://www.lincoln.edu/;N/A
A. L. Davis;conf/isca/Davis78;Halmstad University College;http://www.hh.se/;N/A
A. L. Narasimha Reddy;conf/icde/ReddyB87|journals/tc/ReddyB89|journals/tpds/ReddyB90|journals/computer/ReddyW94|conf/icmcs/Reddy95|conf/mm/ReddyW93|conf/icdcs/ChandyR93;Athenaeum of Ohio;http://www.mtsm.org/;N/A
A. L. Wilkinson;journals/sigops/WilkinsonACHMVWW81;Universidad Nacional del Nordeste;http://www.unne.edu.ar/;N/A
A. L. Wong;conf/focs/BernLW85;Jones College;http://www.jones.edu/;N/A
A. Lee;conf/vldb/TsichritzisCEFLLVW83;Tokyo University of Agriculture and Technology;http://www.tuat.ac.jp/;N/A
A. M. Awong;conf/er/NavatheA87;Apple;;N/A
A. M. Gilbert;conf/vldb/ChamberlinGY81;BMW;;N/A
A. M. Glorieux;conf/er/EsculierG79|conf/ddb/LitwinBEFGCKMRS82;Lockheed Martin;;N/A
A. M. J. Lane;conf/ssdbm/LaneP98;Cardinal Health;;N/A
A. M. Langer;journals/cacm/LangerS82;Gifu University for Education and Languages;http://www.gifu-kyoiku.ac.jp/;N/A
A. M. Pegna;journals/ita/LeviP83;Oracle Corporation;;N/A
A. M. R. Smith;journals/cj/SmithLH83;University of Texas at Brownsville;http://www.utb.edu/;N/A
A. Mahanti;journals/jacm/MahantiB85;Ford;;N/A
A. Mahboob;conf/sigmod/AgrawalCFGHIIMMSS94;Fachhochschule JOANNEUM;http://www.fh-joanneum.at/;N/A
A. Malpani;journals/cj/AgrawalM91;Zaporizhzhe National University;http://www.znu.edu.ua/;N/A
A. Mecchia;conf/pods/SaccaMM84|journals/debu/SaccaDMPGN87;Bard College;http://www.bard.edu/;N/A
A. Metaxides;conf/ds/Metaxides75;University of Pittsburgh at Bradford;http://www.upb.pitt.edu/;N/A
A. Michael;conf/pods/FischerM82;Perm State Pharmaceutical Academy;http://www.psfa.ru/;N/A
A. Min Tjoa;conf/icde/SchreflTW84|conf/dexaw/KirkgozeKST97;Christian Dior;;N/A
A. Miyagawa;conf/icde/MiyagawaITN84;Lumbini Buddhist University;http://www.lbu.edu.np/;N/A
A. Moon;conf/icde/BelfordLCCEGHKKLMMSYZRL84;Eni;;N/A
A. Mounir Alaoui;conf/ijcai/GhallabA89;Indian Institute of Technology, Guwahati;http://www.iitg.ernet.in/;N/A
A. Mustaro;conf/icdt/AsirelliIM88;Dai Ichi University, College of Technology;http://www.daiichi-koudai.ac.jp/;N/A
A. N. Bogacheva;conf/adbis/BogachevaER95|conf/adbis/BogachevaE94;Volkswagen Group;;N/A
A. N. Staylopatis;conf/mfdbs/VegaPS91;BASF;;N/A
A. N. W. Dahanayake;conf/er/DahanayakeSD97;Wuhan University;http://www.whu.edu.cn/;N/A
A. Neil Arnason;conf/ssdbm/ScuseA83;POSCO;;N/A
A. Nico Habermann;journals/cacm/HabermannFC76|conf/oopsla/LernerH90;St. Petersburg State Technical University;http://www.unilib.neva.ru/;N/A
A. O. Slisenko;conf/mfcs/Slisenko78;ArcelorMittal;;N/A
A. P. G. Brown;conf/ds/Brown75;University of Ghana;http://www.ug.edu.gh/;N/A
A. P. M. Coxon;conf/pkdd/ScottCHW97;Western Michigan University;http://www.wmich.edu/;N/A
A. P. Manolas;conf/icde/BelfordLCCEGHKKLMMSYZRL84;Cisco Systems;;N/A
A. P. Romanov;conf/adbis/BogachevaER95;Halmstad University College;http://www.hh.se/;N/A
A. Pan;journals/siamcomp/SpiraP75;University of Central Texas;http://www.vvm.com/uct/;N/A
A. Pathria;journals/tois/ChristodoulakisTHPP86;University of Agriculture Makurdi;http://www.uam.edu.ng/;N/A
A. Perko;journals/spe/Perko85;Universidade Federal Rural do Rio de Janeiro;http://www.ufrrj.br/;N/A
A. Prasad Sistla;journals/tkde/SistlaW95|journals/tods/SistlaWYS98|journals/debu/SistlaW92|conf/icde/SistlaWCD97|conf/icde/LiuSYR98|conf/icde/SistlaYV97|conf/sigmod/WolfsonSXZC99|conf/sigmod/SistlaW95|conf/sigmod/HuangSW94|conf/vldb/SistlaYLL95|conf/vldb/SistlaYH94|conf/icdt/WolfsonJSCRD99|journals/dpd/WolfsonSCY99|journals/sigmod/WolfsonSDNR95|journals/jacm/SistlaC85|journals/toplas/ClarkeES86|conf/ride/SistlaWDNR96|conf/podc/Sistla85|conf/ngits/WolfsonSXZCYR99|conf/focs/WolperVS83;Gifu University for Education and Languages;http://www.gifu-kyoiku.ac.jp/;N/A
A. Quarati;conf/ride/BertinoQ92;Jinnah University for Women;http://www.juw.edu.pk/;N/A
A. R. Bender;conf/icde/BlahaPBSKH90;Universidad Albert Einstein;http://www.uae.edu.sv/;N/A
A. Ramfos;conf/coopis/RamfosFFS95|conf/bncod/RamfosFG91;Novartis;;N/A
A. Rao;conf/tdb/CliffordR87;Quantum-Veritas International University;http://www.qvius.edu/;N/A
A. Rashid B. M. Shariff;journals/tois/EgenhoferS98;Chung-Ang University;http://www.cau.ac.kr/;N/A
A. Ravichandran;journals/tc/KantR90;Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló;http://www.barcelo.edu.ar/;N/A
A. Ravishankar Rao;journals/expert/RaoJ88;Chongqing University of Communications;http://www.cquc.edu.cn/;N/A
A. Reiter;journals/spe/GudesR73;Kanazawa University;http://www.kanazawa-u.ac.jp/;N/A
A. Richard Helm;conf/dood/Helm89|conf/slp/Helm89;Athenaeum of Ohio;http://www.mtsm.org/;N/A
A. Robert Calderbank;journals/jacm/CalderbankCF88|journals/jacm/CalderbankCF84;Moscow Power Engineering Institute (Technical University);http://www.mpei.ac.ru/;N/A
A. Roger Kaye;journals/tois/KayeK87;Symbiosis International University;http://www.siu.edu.in/;N/A
A. S. Balaian;conf/adbis/Balaian94;United Technologies;;N/A
A. S. M. Sajeev;conf/pos/HurstS89;Schiller International University, Paris;http://www.schillerparis.com/;N/A
A. Sebastio;conf/ssdbm/FortunatoRRS86;Augustana University College;http://www.augustana.ab.ca/;N/A
A. Sengupta;journals/mms/HiltonJS94;Czech Technical University of Prague;http://www.cvut.cz/;N/A
A. Söder;conf/btw/PaulSSW87;Dalhousie University;http://www.dal.ca/;N/A
A. T. Kutanov;conf/adbis/YouditchkyKK94;Beijing Automotive Group;;N/A
A. Takano;conf/icse/SunoharaTUO81;Evangel University;http://www.evangel.edu/;N/A
A. Tiems;conf/vl/StaesTT91;Chung-Ang University;http://www.cau.ac.kr/;N/A
A. Timothy Maness;conf/sigmod/DintelmanM82|conf/ssdbm/ManessD83|conf/ssdbm/ManessD81|journals/debu/HeilerM84;Moody Bible Institute;http://www.moody.edu/;N/A
A. Tjahjana;conf/dexa/OzsoyogluDTHR91;Tyson Foods;;N/A
A. Traupe;conf/adl/NikolaiTK98;Belarussian State Technological University;http://www.bstu.unibel.by/;N/A
A. V. Gavrilov;conf/adbis/Gavrilov94;Fachhochschule JOANNEUM;http://www.fh-joanneum.at/;N/A
A. V. Morozova;conf/adbis/Morozova94;Coker College;http://www.coker.edu/;N/A
A. Van der Mude;journals/iandc/MudeW78;Dalhousie University;http://www.dal.ca/;N/A
A. Vashishta;conf/dasfaa/ShahFGRV93|journals/cj/DeenNV81;Universidad Nacional del Nordeste;http://www.unne.edu.ar/;N/A
A. W. Roscoe;journals/jacm/BrookesHR84|conf/rex/SchneiderDJRRR91;Kanazawa University;http://www.kanazawa-u.ac.jp/;N/A
A. Wong;journals/tods/SaltonW78|journals/cacm/SaltonWY75;Osaka University;http://www.osaka-u.ac.jp/;N/A
A. Y. Lu;conf/icde/LuS91;University of Wisconsin - Stout;http://www.uwstout.edu/;N/A
A. Yahia;conf/er/YahiaLCB96|conf/dexa/YahiaLC96;Johannes-Gutenberg Universität Mainz;http://www.uni-mainz.de/;N/A
A. Z. Lieberman;conf/er/Lieberman79;Johannes-Gutenberg Universität Mainz;http://www.uni-mainz.de/;N/A
A. Zandi;conf/dcc/ZandiIL93;Chung-Ang University;http://www.cau.ac.kr/;N/A
A. Zeroual;journals/isci/LitwinAZN89;Norinco;;N/A
Aamir Rasheed;conf/adc/RasheedZ96;Birla Institute of Technology, Ranchi;http://bitmesraranchi.org/;N/A
Aamod Sane;conf/ecoopw/SinghaiSC97;Schiller International University, Paris;http://www.schillerparis.com/;N/A
Aarno Lehtola;conf/dasfaa/HyotyniemiL91;British Columbia Institute of Technology;http://www.bcit.ca/;N/A
Aaron M. Tenenbaum;conf/sigmod/ArnowT84|journals/siamcomp/TenenbaumN82;American University in Dubai;http://www.aud.edu/;N/A
Aaron Marcus;journals/computer/MarcusD91;Denso;;N/A
Aaron Watters;conf/sigmod/Watters93|conf/pods/BunemanDW88|journals/jcss/BunemanDW91;Université Gaston Berger Saint-Louis;http://www.ugb.sn/;N/A
Aashu Virmani;conf/adbis/ImielinskiV98|conf/kdd/ImielinskiVA96;Eni;;N/A
Abad A. Shah;conf/dasfaa/ShahFGRV93;Oracle Corporation;;journals/tkde/DelisR98|conf/adbis/BasarabGN94|conf/icde/LaurentLSV99|conf/btw/LockemannABDFGKLLM85|conf/sigir/XuC96
Abbas Rafii;journals/computer/AhmedSDKKLRS91;Apple;;N/A
Abbe Mowshowitz;journals/ac/Mowshowitz86;Jinnah University for Women;http://www.juw.edu.pk/;N/A
Abby Goodrum;conf/sigir/SpinkGRW96;Universität Fridericana Karlsruhe (Technische Hochschule);http://www.uni-karlsruhe.de/;N/A
Abdallah A. Abdel-Ghaly;journals/tse/Abdel-GhalyCL86;British College of Osteopathic Medicine;http://www.bcom.ac.uk/;N/A
Abdallah M. Alashqur;conf/icde/AlashqurSL90|conf/vldb/AlashqurSL89;Dayalbagh Educational Institute;http://www.dei.ac.in/;N/A
Abdel Aziz Farrag;journals/tods/FarragO89|journals/tse/FarragO87;Bundelkhand University;http://www.bundelkhanduniversity.org/;N/A
Abdelaziz Abdellatif;journals/isci/LitwinAZN89|journals/computer/LitwinA86;Anheuser-Busch InBev;;N/A
Abdelkader Hameurlain;conf/cikm/HameurlainM95|conf/dexa/HameurlainMC92|conf/dexa/HameurlainM94;East Somalia University;http://www.eastsomaliauniversity.com/;N/A
Abdelmoula El-Hamdouchi;journals/cj/El-HamdouchiW89;Saybrook Institute;http://www.saybrook.org/;N/A
Abdelsalam Heddaya;journals/ins/HeddayaHW89|journals/tse/SpectorBDDEFHS85;Ibaraki Prefectural University of Health Sciences;http://www.ipu.ac.jp/;N/A
Abdelsalam Helal;journals/tods/LiuHD98|conf/icde/ElmagarmidH88|conf/icde/HelalSB89|conf/sigmod/BohrerBBCFHKKMNRRSUUW97a|conf/sigmod/BohrerBBCFHKKMNRRSUUW97|journals/mms/JiangHEJ98|journals/sigmod/DunhamH95a|journals/csur/JingHE99|journals/monet/DunhamHB97|journals/monet/JingEHA97;Florida Christian College;http://www.fcc.edu/;N/A
Abderrahmane Aggoun;conf/fgcs/DincbasHSAGB88;Airbus;;N/A
Abdul Hai;journals/ijmms/HaiK85;Universidade Estadual de Maringá;http://www.uem.br/;N/A
Abdul Sattar 0001;conf/icde/SattarG91;Jones College;http://www.jones.edu/;N/A
Abdulla Bataineh;journals/ipl/BatainehOS91;Universidad Autónoma de Nuevo León;http://www.uanl.mx/;N/A
Abdullah Uz Tansel;journals/tkde/Tansel97|journals/tkde/TanselT97|journals/tods/TanselG92|conf/icde/Tansel87|conf/sigmod/CliffordT85|conf/sigmod/TanselG89|conf/cikm/GoralwallaTO95|journals/is/Tansel86|journals/isci/Tansel91|journals/tse/TanselAO89|conf/ddb/OzkarahanTS82|conf/dagstuhl/JensenDBCEGGHJKKLMMNPPRSSSSSTTW97|conf/dagstuhl/TanselT97|conf/ssdbm/TanselA86|conf/ssdbm/TanselA86a;Jishou University;http://www.jsu.edu.cn/;N/A
Abe Lockman;journals/tse/LockmanM82;Fachhochschulstudiengänge Wels;http://www.fh-wels.at/;N/A
Abel Weinrib;conf/sigmod/HermanGLW87|journals/cacm/BowenGHHLMRW92;Czech Technical University of Prague;http://www.cvut.cz/;N/A
Abhai Johri;journals/tse/GligorCCDHJJLV87;Universidade Metodista de Piracicaba;http://www.unimep.br/;N/A
Abhay Mehta;conf/kdd/ClearDHHLMMRSWX99;Tokyo University of Agriculture and Technology;http://www.tuat.ac.jp/;N/A
Abhaya Asthana;conf/cikm/SoparkarKJA95|conf/iwdm/AsthanaJK89|conf/asplos/AhujaA82;Athenaeum of Ohio;http://www.mtsm.org/;N/A
Abhijit Chaudhary;journals/tkde/LinCWM93;Iran University of Medical Sciences;http://www.iums.ac.ir/;N/A
Abhijit Sahay;conf/ppopp/CullerKPSSSSE93;Sree Rama Krishna Degree College;http://www.srkdc.org/;N/A
Abhijit Sengupta;conf/dpds/BandyopadhyayS88;Johnson & Johnson;;N/A
Abhirup Chatterjee;conf/icde/ZhaoSC95|conf/ssdbm/SegevC94|journals/sigmod/ChatterjeeS91|conf/ssdbm/ChatterjeeS92;Baltimore International College;http://www.bic.edu/;N/A
Abigail Sellen;conf/chi/OHaraS97;Zaporizhzhe National University;http://www.znu.edu.ua/;N/A
Abraham Bernstein;journals/sigmod/BernsteinDK99|journals/debu/BernsteinDMQ95;Sonoda Women's University;http://www.sonoda-u.ac.jp/;N/A
Abraham Bookstein;journals/ipm/BooksteinKZ92|conf/sigir/BooksteinK91|conf/sigir/LoseeBY86|conf/sigir/Bookstein86;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/;N/A
Abraham Kandel;journals/ac/KandelS89|journals/ins/Zemankova85;Schiller International University, Paris;http://www.schillerparis.com/;N/A
Abraham Lempel;journals/cacm/EvenGL85|journals/csur/Lempel79|journals/tit/ZivL77|journals/tit/ZivL78;Florida Christian College;http://www.fcc.edu/;N/A
Abraham Silberschatz;journals/tkde/GangulyST95|journals/tkde/SilberschatzT96|journals/tkde/LevyS92|journals/tkde/SoparkarKS95|journals/tods/RothKS88|journals/tods/MehrotraRKS98|journals/vldb/RoySSSA98|journals/vldb/BreitbartGS92|journals/vldb/BreitbartST92|journals/vldb/MehrotraKS97|journals/vldb/GarofalakisOS98|journals/csur/SilberschatzZ96|journals/csur/SilberschatzKS96|journals/csur/OzdenRS95|journals/debu/RastogiMKS93|journals/debu/OzdenRS95|conf/icde/OzdenRS97|conf/icde/GangulyKS91|conf/icde/OzdenRS98|conf/icde/HsuS91|conf/icde/HillyerRS99|conf/icde/ChaudhuriADRSW97|conf/icde/BohannonRSSS99|conf/dasfaa/MehrotraRBKS93|conf/sigmod/BreitbartKRSS99|conf/sigmod/MehrotraRBKS92|conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99|conf/sigmod/KedemS81|conf/sigmod/HillyerS96|conf/sigmod/WolfsonS88|conf/sigmod/BreitbartST90|conf/sigmod/GangulyGMS96|conf/sigmod/LevyKS91|conf/sigmod/OzdenRSS96|conf/sigmod/BreitbartS88|conf/sigmod/GangulyST90|conf/vldb/ReadFS92|conf/vldb/JagadishLRSS94|conf/vldb/RamakrishnanS85|conf/vldb/GarofalakisOS97|conf/vldb/AshwinRSSS97|conf/vldb/KorthSS90|conf/vldb/BuckleyS83|conf/vldb/KedemMS82|conf/vldb/RamaswamyMS98|conf/vldb/BaulierBKS98|conf/vldb/KedemS80|conf/vldb/JagadishSS93|conf/vldb/OzdenBRS94|conf/vldb/FaloutsosMS96|conf/vldb/FussellKS81|conf/vldb/KorthLS90|conf/vldb/BohannonLRSSS97|conf/pods/RastogiMBKS93|conf/pods/GarofalakisIOS98|conf/pods/OzdenRS97|conf/pods/SoparkarS90|conf/pods/BuckleyS84|conf/pods/MehrotraRBKS92|conf/pods/MohanFS82|conf/pods/KiferRS88|conf/pods/RastogiKS93|conf/pods/GangulyGS96|conf/pods/RamakrishnanBS87|conf/pods/JagadishMS95|journals/acta/KedemS81|journals/acta/RothKS89|journals/mms/OzdenRS96|journals/dpd/RastogiBPSSS98|journals/sigmod/SilberschatzZ97|journals/sigmod/SilberschatzSU96|journals/sigmod/SilberschatzSU90|journals/sigmod/DrewKMRS93|journals/spe/KimKS88|journals/mta/BohannonLRSSS97|journals/cacm/SilberschatzSU91|journals/is/OzdenBRS95|journals/iandc/MohanFS84|journals/csur/LevyS90|journals/jacm/SilberschatzK80|journals/jacm/KedemS83|journals/jacm/BuckleyS85|journals/debu/BreitbartST87|journals/ibmsj/AttaluriBCLMSSZ95|journals/cj/BuckleyS84|journals/tse/SilberschatzK82|journals/tse/BreitbartGRS91|journals/tse/Silberschatz83a|journals/tse/MohanFKS85|journals/computer/SoparkarKS91|journals/jlp/WolfsonS91|conf/ride/BreitbartS92|conf/ride/MehrotraRKS92|conf/ride/GarofalakisOS98|conf/sigmetrics/HillyerS96|conf/podc/Silberschatz82|conf/podc/LevyKS91|conf/pdis/MehrotraRKS91|conf/pdis/BohannonPRSSS96|conf/focs/KedemS79|conf/kdd/SilberschatzT95|conf/icmcs/OzdenRSM95|conf/icmcs/OzdenRS96a|conf/icmcs/OzdenRS95|conf/icdcs/MehrotraRKS92|conf/icdcs/RastogiKS95;Halmstad University College;http://www.hh.se/;N/A
Achim Blumensath;conf/lics/BlumensathG00;Baltimore International College;http://www.bic.edu/;N/A
Achim Jung;journals/tcs/BunemanJO91;Ecole Nationale Supérieure du Pétrole et des Monteurs;http://www.ifp.fr/EC/EC000GP1.html;N/A
Achim Kraiss;journals/vldb/KraissW98|journals/debu/WeikumKK99|conf/icde/KraissMG99|conf/vldb/MoserKK95|conf/vldb/KraissW97|conf/edbt/GillmannWWK00|conf/edbt/MuthKW96;COMSATS Institute of Information Technology, Lahore;http://www.ciitlahore.edu.pk/;N/A
Achim Pick;journals/vldb/MuthOPW00|conf/vldb/MuthOPW98;University of Leeds;http://www.leeds.ac.uk/;N/A
Achim Ulbrich-vom Ende;conf/dolap/BoehnleinE99;Fachhochschule St. Gallen;https://www.fhsg.ch/;N/A
Ada Wai-Chee Fu;journals/tkde/CheungNFF96|journals/sigmod/KuokFW98|journals/sigmod/CheungF98|conf/icde/ChanF99|conf/vldb/FuC94|conf/pods/FuK89|conf/pdis/CheungHNFF96|conf/ismis/CheungFH94|conf/kdd/HwangF95|conf/kdd/ChengFZ99;Kia Motors;;N/A
Adam Bosworth;conf/icde/GrayBLP96|conf/sigmod/Carey00|journals/datamine/GrayCBLRVPP97;Lincoln University Pennsylvania;http://www.lincoln.edu/;N/A
Adam Farquhar;conf/aaai/ChaudhriFFKR98|conf/krdb/StarrCFW98;California Institute of Integral Studies;http://www.ciis.edu/;N/A
Adam Finkelstein;journals/tkde/AmadorBBDFNNSSSSWW93;Handelshochschule Leipzig;http://www.hhl.de/;N/A
Adam J. Grove;conf/cp/BacchusG95|conf/stoc/GroveHK92;Grodno State University Yanka Kupaly;http://www.grsu.by/;N/A
Adam L. Buchsbaum;journals/amai/BuchsbaumKV91|conf/soda/BuchsbaumKV90;Harding University Graduate School of Religion;http://www.hugsr.edu/;N/A
Adam Rifkin;journals/internet/KhareR97;Université Rennes II - Haute-Bretagne;http://www.uhb.fr/;N/A
Adam Sah;journals/vldb/StonebrakerALPSSSY96|conf/icde/SidellASSSY96|conf/pdis/StonebrakerDKLPSS94;Jishou University;http://www.jsu.edu.cn/;N/A
Adam Seiver;conf/ijcai/Hayes-RothWHHS89;Universidade Vale do Rio Doce;http://www.univale.br/;N/A
Adam Stoller;conf/usenix/BorensteinERS88;Al-Yamamah College;http://www.alyamamah.edu.sa/;N/A
Adarsh K. Arora;conf/er/CarlsonA83|conf/er/PahwaA85|conf/er/DavisA85|conf/er/CarlsonJA89|conf/er/DavisA87|conf/vldb/AroraC78|journals/cj/AroraC84|journals/cj/CarlsonAC82|journals/tse/CarlsonA85;Sanofi;;N/A
Adegbemiga Ola;conf/icde/Ole92|conf/vldb/OlaO89|conf/ssdbm/OzsoyogluHO90;University of Medicine and Pharmacy of Targu Mures;http://www.umftgm.ro/;N/A
Adegbeniga Ola;journals/tkde/OlaO93;Sibelius Academy;http://www.siba.fi/;N/A
Adel Shrufi;journals/vldb/MylopoulosCPST96|conf/edbt/BonnerSR96|conf/cikm/ShrufiT95|conf/cikm/Shrufi94;Handelshochschule Leipzig;http://www.hhl.de/;N/A
Adele E. Howe;journals/tkde/Howe95|journals/aim/CohenGHH89|journals/aim/HoweD97|journals/tois/DreilingerH97|conf/aaai/HoweC91|conf/aaai/Howe92;Persian Gulf University;http://www.pgu.ac.ir/;N/A
Adelheit Stein;journals/ipm/SitterS92;Panteios University of Economics and Political Sciences Athens;http://www.panteion.gr/;N/A
Adi Raveh;journals/jiis/ShapiraHRS97;Azerbaijan State Economic University;http://www.aseu.az/;N/A
Adi Shamir;journals/cacm/Shamir79|journals/cacm/RivestSA78|journals/iandc/RivestS82|journals/siamcomp/EvenIS76|conf/crypto/Shamir84;Tohoku Institute of Technology;http://www.tohtech.ac.jp;N/A
Adil Daruwala;conf/ds/DaruwalaGHHMS95;Sonoda Women's University;http://www.sonoda-u.ac.jp/;N/A
Adil Faisal;conf/widm/FaisalSMB99;Daimler;;N/A
Aditya N. Saharia;journals/tkde/DiehrS94|journals/tkde/DeyBS98|journals/tods/MendelsonS86;Renault;;N/A
Adnan H. Yahya;journals/jar/YahyaH85;University of Dallas;http://www.udallas.edu/;N/A
Adolfo Socorro;conf/edbt/StempleFSS90|conf/oodbs/StempleSS88;Volkswagen Group;;N/A
